Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
4729b5f7-da0f-92b0-1010-8ab2eb1930b7,2023-12-21,,999-36-9817,,,,Mariam937,Margarete324,Cummings51,,,,white,nonhispanic,F,Cambridge  Massachusetts  US,352 Konopelski Boulevard Apt 95,Boston,Massachusetts,Suffolk County,25025,02136,42.379413291809676,-71.07987240456158,8182.86,19976.25,41391
a30a963e-99bb-e9c7-6b1b-43268c2f8b76,1999-06-13,,999-58-3260,S99947415,X49318472X,Mr.,Hans694,Buck819,Lang846,,,,white,nonhispanic,M,Burlington  Massachusetts  US,537 Boyle Way,Quincy,Massachusetts,Norfolk County,25021,02169,42.19320768446329,-71.1165721915821,71133.87,19545.54,107416
1771e4f5-b3e4-5317-4176-0ae2415ddeb0,2020-06-08,2022-10-01,999-54-8546,,,,Guy979,,Crona259,,,,white,nonhispanic,M,Falmouth  Massachusetts  US,918 Strosin Gateway Suite 49,Orange,Massachusetts,Franklin County,25011,01364,42.61749231689211,-72.26450154738383,17814.10,11130.64,44485
a78dd2d2-3b23-3ae1-5158-802a69e2487d,2012-10-21,,999-96-9477,,,,Anglea614,Mardell937,Bayer639,,,,white,nonhispanic,F,Greenfield  Massachusetts  US,678 McClure Lodge,Spencer,Massachusetts,Worcester County,25027,01562,42.23112932802686,-72.02826434038553,2003.24,26316.82,19225
3f064370-e6a0-c3bc-007e-f0b269472ce7,2016-01-11,,999-24-6346,,,,Leonarda398,Fairy757,Green467,,,,white,nonhispanic,F,Springfield  Massachusetts  US,110 Larkin Trailer,Waltham,Massachusetts,Middlesex County,25017,02453,42.38261197472602,-71.20286127569624,35264.96,9284.86,48500
22471199-9b73-d8b3-d3a5-5f013a289102,1986-03-05,,999-27-8203,S99985804,X97754192X,Mr.,Marquis364,Isreal8,Swift555,,,M,white,nonhispanic,M,Brockton  Massachusetts  US,980 Mertz Center Suite 23,Danvers,Massachusetts,Essex County,25009,01923,42.566982268280185,-70.95699579180695,456209.87,302649.86,72861
408a5abc-8422-4c73-1f8b-eab376c59c39,2017-12-25,,999-92-7520,,,,Karima879,Amparo58,Schmeler639,,,,white,nonhispanic,F,Acushnet  Massachusetts  US,1018 Russel Mill,Saugus,Massachusetts,Essex County,25009,01906,42.46421369590132,-71.03665883518691,25020.94,4141.52,130158
1308d506-25d5-9583-c001-83bf3fa6ba23,1974-09-04,,999-45-4320,S99929823,X07534190X,Mr.,Garry927,,Luettgen772,,,M,black,nonhispanic,M,Peabody  Massachusetts  US,144 McKenzie Divide,Boston,Massachusetts,Suffolk County,25025,02128,42.28556174415738,-71.09940228171428,108027.76,13762.16,161504
c34b086a-72a5-c4ff-f400-f0e730b26fe9,2006-07-10,,999-66-4041,S99974721,X43736920X,Ms.,Ashleigh941,Lila466,Kerluke267,,,,white,nonhispanic,F,Natick  Massachusetts  US,365 Herzog Stravenue Apt 70,Lowell,Massachusetts,Middlesex County,25017,01854,42.631297527039564,-71.31352390690739,74659.12,16755.28,112026
be9c5b8f-4463-46ba-5883-9890348a0917,1976-01-18,,999-22-3519,S99997937,X25604233X,Mrs.,Lola232,,Bayer639,,Huel628,M,white,nonhispanic,F,Fall River  Massachusetts  US,872 Rolfson Bypass,Brookline,Massachusetts,Norfolk County,25021,02446,42.38674168362909,-71.06738413415363,13633.13,894898.09,3845
da99217f-33df-fe23-27e7-b5c49c16d579,1999-10-12,,999-78-5866,S99964228,X43539021X,Ms.,Beckie79,Raven88,Hickle134,,,,white,hispanic,F,Braintree  Massachusetts  US,111 Hermiston Green,Lunenburg,Massachusetts,Worcester County,25027,01462,42.55502215588427,-71.72932343100649,96351.50,204414.09,46702
afaa3e9c-1f38-a1da-cd56-cc6d265dd5d1,2003-08-02,,999-42-2570,S99983038,X02435774X,Ms.,Rebekah348,,Walsh511,,,,white,nonhispanic,F,Lowell  Massachusetts  US,806 Metz Arcade,Boston,Massachusetts,Suffolk County,25025,02115,42.36458870525783,-71.04057119711463,6312.52,127488.75,5589
08d8b268-ef26-cc89-8fe8-0a1e38b5964e,1970-03-08,,999-66-1525,S99924230,X08684435X,Mr.,Juan88,,Herrera193,,,S,white,hispanic,M,Salisbury  Saint Joseph Parish  DM,701 Batz Crossing,Middleton,Massachusetts,Essex County,,00000,42.65317334658406,-71.0556284635267,138874.64,22594.20,984670
ad7281d5-1585-b863-b73a-d9bc8d33b889,1957-06-02,,999-76-1401,S99982750,X78424464X,Mr.,Lucien408,Jimmie93,Satterfield305,,,S,white,nonhispanic,M,Arlington  Massachusetts  US,374 Champlin Drive Suite 97,Pittsfield,Massachusetts,Berkshire County,25003,01201,42.4334005159795,-73.25205567110571,110621.53,136381.08,38672
20ab04aa-347b-2e8a-db90-b5c22a013eb3,1961-01-09,,999-18-7086,S99947440,X23975712X,Mrs.,Tammi724,Kayla528,Davis923,,Rowe323,M,native,nonhispanic,F,Haverhill  Massachusetts  US,569 Reinger Divide,Springfield,Massachusetts,Hampden County,25013,01199,42.134160408423334,-72.62729150184897,16931.44,909849.76,20264
54e167e3-7b6e-e8f5-6f8e-c5a982b354e3,1978-08-24,,999-10-1700,S99985383,X55374656X,Mrs.,Stella203,Tonia627,Brakus656,,Huel628,D,white,nonhispanic,F,New Bedford  Massachusetts  US,858 Gorczany Approach,Millis,Massachusetts,Norfolk County,,00000,42.133235911727915,-71.40714084586044,272226.72,1179440.67,31991
1ca1d38e-411a-a00a-c1f3-b732978b2fc1,1945-12-29,,999-85-4670,S99943112,X78020580X,Mrs.,Jewel43,Arletta663,Olson653,,Balistreri607,M,black,nonhispanic,F,Boston  Massachusetts  US,1000 Doyle Bridge,Boston,Massachusetts,Suffolk County,25025,02136,42.348738817505236,-71.06683063301088,386941.23,218681.24,89472
8cee5a87-4fb9-6da6-6628-a75fc1e1d93f,1972-10-20,,999-73-5322,S99967482,X54626873X,Mrs.,Daysi106,Chantelle310,Lockman863,,Rohan584,M,asian,nonhispanic,F,Waltham  Massachusetts  US,603 Stamm Path Apt 23,Somerville,Massachusetts,Middlesex County,25017,02140,42.46792496185024,-71.14000497730082,876961.72,262321.05,39841
